Arrochar/Fort Wadsworth,Staten Island,31.78444444
Freshkills Park,Staten Island,29.34250000
Port Richmond,Staten Island,24.35777778
Flushing Meadows-Corona Park,Queens,24.26508389
Baisley Park,Queens,23.77613468
Randalls Island,Manhattan,23.12457752
South Jamaica,Queens,21.79398725
Mariners Harbor,Staten Island,21.78655693
Saint George/New Brighton,Staten Island,21.49189349
Arden Heights,Staten Island,20.29625000
Astoria Park,Queens,18.96709200
Murray Hill-Queens,Queens,17.87373650
LaGuardia Airport,Queens,17.81410975
JFK Airport,Queens,16.93999027
Jamaica,Queens,15.12060922
Governor's Island/Ellis Island/Liberty Island,Manhattan,14.79625000
Country Club,Bronx,14.61319527
Springfield Gardens South,Queens,14.42459702
Maspeth,Queens,14.18717056
Briarwood/Jamaica Hills,Queens,13.52979858
